Fund Holdings as of,"Apr 28, 2022"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.13","102.43","9,372.00","959,973.96","959,973.96","Utilities","US0255371017","NASDAQ","United States","USD"
"ADM","ARCHER DANIELS MIDLAND","Equity","0.13","92.51","10,353.00","957,756.03","957,756.03","Consumer Staples","US0394831020","New York Stock Exchange Inc.","United States","USD"
"MRVL","MARVELL TECHNOLOGY INC","Equity","0.13","61.06","15,639.00","954,917.34","954,917.34","Information Technology","US5738741041","NASDAQ","United States","USD"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.13","60.04","15,724.00","944,068.96","944,068.96","Financials","US0268747849","New York Stock Exchange Inc.","United States","USD"
"MCK","MCKESSON CORP","Equity","0.13","320.60","2,916.00","934,869.60","934,869.60","Health Care","US58155Q1031","New York Stock Exchange Inc.","United States","USD"
"MET","METLIFE INC","Equity","0.13","67.77","13,647.00","924,857.19","924,857.19","Financials","US59156R1086","New York Stock Exchange Inc.","United States","USD"
"MRNA","MODERNA INC","Equity","0.13","142.52","6,485.00","924,242.20","924,242.20","Health Care","US60770K1079","NASDAQ","United States","USD"
"KMB","KIMBERLY CLARK CORP","Equity","0.13","141.99","6,476.00","919,527.24","919,527.24","Consumer Staples","US4943681035","New York Stock Exchange Inc.","United States","USD"
"UBER","UBER TECHNOLOGIES INC","Equity","0.12","32.82","27,842.00","913,774.44","913,774.44","Industrials","US90353T1007","New York Stock Exchange Inc.","United States","USD"
"CNC","CENTENE CORP","Equity","0.12","81.59","11,195.00","913,400.05","913,400.05","Health Care","US15135B1017","New York Stock Exchange Inc.","United States","USD"
"MELI","MERCADOLIBRE INC","Equity","0.12","1,040.00","877.00","912,080.00","912,080.00","Consumer Discretionary","US58733R1023","NASDAQ","United States","USD"
"LHX","L3HARRIS TECHNOLOGIES INC","Equity","0.12","239.09","3,810.00","910,932.90","910,932.90","Industrials","US5024311095","New York Stock Exchange Inc.","United States","USD"
"ABNB","AIRBNB INC CLASS A","Equity","0.12","159.74","5,643.00","901,412.82","901,412.82","Consumer Discretionary","US0090661010","NASDAQ","United States","USD"
"NXPI","NXP SEMICONDUCTORS NV","Equity","0.12","177.25","5,021.00","889,972.25","889,972.25","Information Technology","NL0009538784","NASDAQ","United States","USD"
"EXC","EXELON CORP","Equity","0.12","48.34","18,307.00","884,960.38","884,960.38","Utilities","US30161N1019","NASDAQ","United States","USD"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Equity","0.12","161.22","5,451.00","878,810.22","878,810.22","Consumer Discretionary","US43300A2033","New York Stock Exchange Inc.","United States","USD"
"NUE","NUCOR CORP","Equity","0.12","160.65","5,456.00","876,506.40","876,506.40","Materials","US6703461052","New York Stock Exchange Inc.","United States","USD"
"SNPS","SYNOPSYS INC","Equity","0.12","301.86","2,875.00","867,847.50","867,847.50","Information Technology","US8716071076","NASDAQ","United States","USD"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Equity","0.12","83.97","10,312.00","865,898.64","865,898.64","Information Technology","US1924461023","NASDAQ","United States","USD"
"ECL","ECOLAB INC","Equity","0.12","175.31","4,936.00","865,330.16","865,330.16","Materials","US2788651006","New York Stock Exchange Inc.","United States","USD"
"APH","AMPHENOL CORP CLASS A","Equity","0.12","73.55","11,702.00","860,682.10","860,682.10","Information Technology","US0320951017","New York Stock Exchange Inc.","United States","USD"
"SYY","SYSCO CORP","Equity","0.12","88.32","9,724.00","858,823.68","858,823.68","Consumer Staples","US8718291078","New York Stock Exchange Inc.","United States","USD"
"ILMN","ILLUMINA INC","Equity","0.12","303.06","2,807.00","850,689.42","850,689.42","Health Care","US4523271090","NASDAQ","United States","USD"
"GIS","GENERAL MILLS INC","Equity","0.11","72.27","11,614.00","839,343.78","839,343.78","Consumer Staples","US3703341046","New York Stock Exchange Inc.","United States","USD"
"CTVA","CORTEVA INC","Equity","0.11","57.82","14,502.00","838,505.64","838,505.64","Materials","US22052L1044","New York Stock Exchange Inc.","United States","USD"
"CDNS","CADENCE DESIGN SYSTEMS INC","Equity","0.11","159.01","5,270.00","837,982.70","837,982.70","Information Technology","US1273871087","NASDAQ","United States","USD"
"PAYX","PAYCHEX INC","Equity","0.11","132.40","6,291.00","832,928.40","832,928.40","Information Technology","US7043261079","NASDAQ","United States","USD"
"TRV","TRAVELERS COMPANIES INC","Equity","0.11","174.50","4,758.00","830,271.00","830,271.00","Financials","US89417E1091","New York Stock Exchange Inc.","United States","USD"
"GPN","GLOBAL PAYMENTS INC","Equity","0.11","143.89","5,752.00","827,655.28","827,655.28","Information Technology","US37940X1028","New York Stock Exchange Inc.","United States","USD"
"HPQ","HP INC","Equity","0.11","37.58","21,989.00","826,346.62","826,346.62","Information Technology","US40434L1052","New York Stock Exchange Inc.","United States","USD"
"DLR","DIGITAL REALTY TRUST REIT INC","Equity","0.11","151.50","5,435.00","823,402.50","823,402.50","Real Estate","US2538681030","New York Stock Exchange Inc.","United States","USD"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.11","61.50","13,360.00","821,640.00","821,640.00","Industrials","IE00BY7QL619","New York Stock Exchange Inc.","United States","USD"
"ADSK","AUTODESK INC","Equity","0.11","195.84","4,195.00","821,548.80","821,548.80","Information Technology","US0527691069","NASDAQ","United States","USD"
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.11","112.12","7,313.00","819,933.56","819,933.56","Financials","US7443201022","New York Stock Exchange Inc.","United States","USD"
"LULU","LULULEMON ATHLETICA INC","Equity","0.11","362.43","2,251.00","815,829.93","815,829.93","Consumer Discretionary","US5500211090","NASDAQ","United States","USD"
"TEL","TE CONNECTIVITY LTD","Equity","0.11","126.96","6,406.00","813,305.76","813,305.76","Information Technology","CH0102993182","New York Stock Exchange Inc.","United States","USD"
"IQV","IQVIA HOLDINGS INC","Equity","0.11","219.40","3,693.00","810,244.20","810,244.20","Health Care","US46266C1053","New York Stock Exchange Inc.","United States","USD"
"ORLY","OREILLY AUTOMOTIVE INC","Equity","0.11","623.28","1,289.00","803,407.92","803,407.92","Consumer Discretionary","US67103H1077","NASDAQ","United States","USD"
"O","REALTY INCOME REIT CORP","Equity","0.11","72.71","10,968.00","797,483.28","797,483.28","Real Estate","US7561091049","New York Stock Exchange Inc.","United States","USD"
"WDAY","WORKDAY INC CLASS A","Equity","0.11","215.46","3,698.00","796,771.08","796,771.08","Information Technology","US98138H1014","NASDAQ","United States","USD"
"CMG","CHIPOTLE MEXICAN GRILL INC","Equity","0.11","1,500.82","530.00","795,434.60","795,434.60","Consumer Discretionary","US1696561059","New York Stock Exchange Inc.","United States","USD"
"WMB","WILLIAMS INC","Equity","0.11","34.83","22,826.00","795,029.58","795,029.58","Energy","US9694571004","New York Stock Exchange Inc.","United States","USD"
"WELL","WELLTOWER INC","Equity","0.11","94.44","8,331.00","786,779.64","786,779.64","Real Estate","US95040Q1040","New York Stock Exchange Inc.","United States","USD"
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.11","124.41","6,322.00","786,520.02","786,520.02","Real Estate","US8288061091","New York Stock Exchange Inc.","United States","USD"
"STZ","CONSTELLATION BRANDS INC CLASS A","Equity","0.11","250.18","3,139.00","785,315.02","785,315.02","Consumer Staples","US21036P1084","New York Stock Exchange Inc.","United States","USD"
"FTNT","FORTINET INC","Equity","0.11","308.65","2,544.00","785,205.60","785,205.60","Information Technology","US34959E1091","NASDAQ","United States","USD"
"AZO","AUTOZONE INC","Equity","0.11","2,014.44","389.00","783,617.16","783,617.16","Consumer Discretionary","US0533321024","New York Stock Exchange Inc.","United States","USD"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Equity","0.11","18.35","42,121.00","772,920.35","772,920.35","Communication","US9344231041","NASDAQ","United States","USD"
"KR","KROGER","Equity","0.10","55.49","13,767.00","763,930.83","763,930.83","Consumer Staples","US5010441013","New York Stock Exchange Inc.","United States","USD"
"TWTR","TWITTER INC","Equity","0.10","49.11","15,399.00","756,244.89","756,244.89","Communication","US90184L1026","New York Stock Exchange Inc.","United States","USD"
"PSX","PHILLIPS 66","Equity","0.10","87.21","8,616.00","751,401.36","751,401.36","Energy","US7185461040","New York Stock Exchange Inc.","United States","USD"
"XEL","XCEL ENERGY INC","Equity","0.10","74.88","9,995.00","748,425.60","748,425.60","Utilities","US98389B1008","NASDAQ","United States","USD"
"AJG","ARTHUR J GALLAGHER","Equity","0.10","179.33","4,159.00","745,833.47","745,833.47","Financials","US3635761097","New York Stock Exchange Inc.","United States","USD"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Equity","0.10","207.06","3,597.00","744,794.82","744,794.82","Information Technology","US22788C1053","NASDAQ","United States","USD"
"SNOW","SNOWFLAKE CLASS A","Equity","0.10","185.71","4,002.00","743,211.42","743,211.42","Information Technology","US8334451098","New York Stock Exchange Inc.","United States","USD"
"DXCM","DEXCOM INC","Equity","0.10","413.23","1,798.00","742,987.54","742,987.54","Health Care","US2521311074","NASDAQ","United States","USD"
"CTAS","CINTAS CORP","Equity","0.10","410.70","1,803.00","740,492.10","740,492.10","Industrials","US1729081059","NASDAQ","United States","USD"
"DVN","DEVON ENERGY CORP","Equity","0.10","59.89","12,307.00","737,066.23","737,066.23","Energy","US25179M1036","New York Stock Exchange Inc.","United States","USD"
"MSI","MOTOROLA SOLUTIONS INC","Equity","0.10","223.16","3,291.00","734,419.56","734,419.56","Information Technology","US6200763075","New York Stock Exchange Inc.","United States","USD"
"DLTR","DOLLAR TREE INC","Equity","0.10","167.11","4,394.00","734,281.34","734,281.34","Consumer Discretionary","US2567461080","NASDAQ","United States","USD"
"IDXX","IDEXX LABORATORIES INC","Equity","0.10","448.35","1,633.00","732,155.55","732,155.55","Health Care","US45168D1046","NASDAQ","United States","USD"
"MCHP","MICROCHIP TECHNOLOGY INC","Equity","0.10","68.18","10,616.00","723,798.88","723,798.88","Information Technology","US5950171042","NASDAQ","United States","USD"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Equity","0.10","359.24","2,012.00","722,790.88","722,790.88","Real Estate","US78410G1040","NASDAQ","United States","USD"
"ROST","ROSS STORES INC","Equity","0.10","104.17","6,920.00","720,856.40","720,856.40","Consumer Discretionary","US7782961038","NASDAQ","United States","USD"
"KMI","KINDER MORGAN INC","Equity","0.10","18.81","38,246.00","719,407.26","719,407.26","Energy","US49456B1017","New York Stock Exchange Inc.","United States","USD"
"WCN","WASTE CONNECTIONS INC","Equity","0.10","141.41","5,046.00","713,554.86","713,554.86","Industrials","CA94106B1013","New York Stock Exchange Inc.","United States","USD"
"ALL","ALLSTATE CORP","Equity","0.10","130.34","5,466.00","712,438.44","712,438.44","Financials","US0200021014","New York Stock Exchange Inc.","United States","USD"
"AFL","AFLAC INC","Equity","0.10","59.26","11,991.00","710,586.66","710,586.66","Financials","US0010551028","New York Stock Exchange Inc.","United States","USD"
"A","AGILENT TECHNOLOGIES INC","Equity","0.10","121.06","5,852.00","708,443.12","708,443.12","Health Care","US00846U1016","New York Stock Exchange Inc.","United States","USD"
"EA","ELECTRONIC ARTS INC","Equity","0.09","123.41","5,644.00","696,526.04","696,526.04","Communication","US2855121099","NASDAQ","United States","USD"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.09","71.15","9,690.00","689,443.50","689,443.50","Utilities","US7445731067","New York Stock Exchange Inc.","United States","USD"
"YUM","YUM BRANDS INC","Equity","0.09","119.52","5,714.00","682,937.28","682,937.28","Consumer Discretionary","US9884981013","New York Stock Exchange Inc.","United States","USD"
"DD","DUPONT DE NEMOURS INC","Equity","0.09","67.58","10,073.00","680,733.34","680,733.34","Materials","US26614N1028","New York Stock Exchange Inc.","United States","USD"
"MSCI","MSCI INC","Equity","0.09","433.38","1,557.00","674,772.66","674,772.66","Financials","US55354G1004","New York Stock Exchange Inc.","United States","USD"
"BAX","BAXTER INTERNATIONAL INC","Equity","0.09","70.80","9,515.00","673,662.00","673,662.00","Health Care","US0718131099","New York Stock Exchange Inc.","United States","USD"
"MNST","MONSTER BEVERAGE CORP","Equity","0.09","87.81","7,579.00","665,511.99","665,511.99","Consumer Staples","US61174X1090","NASDAQ","United States","USD"
"EBAY","EBAY INC","Equity","0.09","53.77","12,311.00","661,962.47","661,962.47","Consumer Discretionary","US2786421030","NASDAQ","United States","USD"
"PH","PARKER-HANNIFIN CORP","Equity","0.09","276.36","2,390.00","660,500.40","660,500.40","Industrials","US7010941042","New York Stock Exchange Inc.","United States","USD"
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.09","43.46","14,971.00","650,639.66","650,639.66","Financials","US0640581007","New York Stock Exchange Inc.","United States","USD"
"LNG","CHENIERE ENERGY INC","Equity","0.09","141.43","4,594.00","649,729.42","649,729.42","Energy","US16411R2085","Nyse Mkt Llc","United States","USD"
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.09","115.98","5,595.00","648,908.10","648,908.10","Financials","US2547091080","New York Stock Exchange Inc.","United States","USD"
"TT","TRANE TECHNOLOGIES PLC","Equity","0.09","145.67","4,449.00","648,085.83","648,085.83","Industrials","IE00BK9ZQ967","New York Stock Exchange Inc.","United States","USD"
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.09","239.50","2,702.00","647,129.00","647,129.00","Real Estate","US0534841012","New York Stock Exchange Inc.","United States","USD"
"ED","CONSOLIDATED EDISON INC","Equity","0.09","95.44","6,713.00","640,688.72","640,688.72","Utilities","US2091151041","New York Stock Exchange Inc.","United States","USD"
"HSY","HERSHEY FOODS","Equity","0.09","227.98","2,795.00","637,204.10","637,204.10","Consumer Staples","US4278661081","New York Stock Exchange Inc.","United States","USD"
"WEC","WEC ENERGY GROUP INC","Equity","0.09","102.78","6,163.00","633,433.14","633,433.14","Utilities","US92939U1060","New York Stock Exchange Inc.","United States","USD"
"HAL","HALLIBURTON","Equity","0.09","36.72","17,131.00","629,050.32","629,050.32","Energy","US4062161017","New York Stock Exchange Inc.","United States","USD"
"FAST","FASTENAL","Equity","0.09","57.44","10,931.00","627,876.64","627,876.64","Industrials","US3119001044","NASDAQ","United States","USD"
"TDG","TRANSDIGM GROUP INC","Equity","0.08","618.83","1,005.00","621,924.15","621,924.15","Industrials","US8936411003","New York Stock Exchange Inc.","United States","USD"
"BIIB","BIOGEN INC","Equity","0.08","210.41","2,941.00","618,815.81","618,815.81","Health Care","US09062X1037","NASDAQ","United States","USD"
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.08","44.53","13,860.00","617,185.80","617,185.80","Consumer Staples","US9314271084","NASDAQ","United States","USD"
"CARR","CARRIER GLOBAL CORP","Equity","0.08","39.41","15,602.00","614,874.82","614,874.82","Industrials","US14448C1045","New York Stock Exchange Inc.","United States","USD"
"VRSK","VERISK ANALYTICS INC","Equity","0.08","212.69","2,867.00","609,782.23","609,782.23","Industrials","US92345Y1064","NASDAQ","United States","USD"
"RMD","RESMED INC","Equity","0.08","213.51","2,805.00","598,895.55","598,895.55","Health Care","US7611521078","New York Stock Exchange Inc.","United States","USD"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Equity","0.08","125.17","4,743.00","593,681.31","593,681.31","Materials","US4595061015","New York Stock Exchange Inc.","United States","USD"
"OTIS","OTIS WORLDWIDE CORP","Equity","0.08","76.07","7,804.00","593,650.28","593,650.28","Industrials","US68902V1070","New York Stock Exchange Inc.","United States","USD"
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.08","86.05","6,834.00","588,065.70","588,065.70","Real Estate","US29476L1070","New York Stock Exchange Inc.","United States","USD"
"PCAR","PACCAR INC","Equity","0.08","85.06","6,906.00","587,424.36","587,424.36","Industrials","US6937181088","NASDAQ","United States","USD"
"MTB","M&T BANK CORP","Equity","0.08","171.31","3,420.00","585,880.20","585,880.20","Financials","US55261F1049","New York Stock Exchange Inc.","United States","USD"
"SIVB","SVB FINANCIAL GROUP","Equity","0.08","515.32","1,136.00","585,403.52","585,403.52","Financials","US78486Q1013","NASDAQ","United States","USD"
"PPG","PPG INDUSTRIES INC","Equity","0.08","130.85","4,469.00","584,768.65","584,768.65","Materials","US6935061076","New York Stock Exchange Inc.","United States","USD"
"AWK","AMERICAN WATER WORKS INC","Equity","0.08","160.68","3,635.00","584,071.80","584,071.80","Utilities","US0304201033","New York Stock Exchange Inc.","United States","USD"
"MTD","METTLER TOLEDO INC","Equity","0.08","1,293.51","451.00","583,373.01","583,373.01","Health Care","US5926881054","New York Stock Exchange Inc.","United States","USD"
"ES","EVERSOURCE ENERGY","Equity","0.08","90.20","6,459.00","582,601.80","582,601.80","Utilities","US30040W1080","New York Stock Exchange Inc.","United States","USD"
"SNAP","SNAP INC CLASS A","Equity","0.08","28.81","20,148.00","580,463.88","580,463.88","Communication","US83304A1060","New York Stock Exchange Inc.","United States","USD"
"AMP","AMERIPRISE FINANCE INC","Equity","0.08","272.91","2,113.00","576,658.83","576,658.83","Financials","US03076C1062","New York Stock Exchange Inc.","United States","USD"
"RSG","REPUBLIC SERVICES INC","Equity","0.08","138.11","4,168.00","575,642.48","575,642.48","Industrials","US7607591002","New York Stock Exchange Inc.","United States","USD"
"WY","WEYERHAEUSER REIT","Equity","0.08","41.90","13,691.00","573,652.90","573,652.90","Real Estate","US9621661043","New York Stock Exchange Inc.","United States","USD"
"ROK","ROCKWELL AUTOMATION INC","Equity","0.08","263.35","2,176.00","573,049.60","573,049.60","Industrials","US7739031091","New York Stock Exchange Inc.","United States","USD"
"TROW","T ROWE PRICE GROUP INC","Equity","0.08","129.36","4,397.00","568,795.92","568,795.92","Financials","US74144T1088","NASDAQ","United States","USD"
"APTV","APTIV PLC","Equity","0.08","107.84","5,233.00","564,326.72","564,326.72","Consumer Discretionary","JE00B783TY65","New York Stock Exchange Inc.","United States","USD"
"HES","HESS CORP","Equity","0.08","105.15","5,314.00","558,767.10","558,767.10","Energy","US42809H1077","New York Stock Exchange Inc.","United States","USD"
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.08","292.26","1,905.00","556,755.30","556,755.30","Industrials","US6795801009","NASDAQ","United States","USD"
"KHC","KRAFT HEINZ","Equity","0.08","43.61","12,645.00","551,448.45","551,448.45","Consumer Staples","US5007541064","NASDAQ","United States","USD"
"EXR","EXTRA SPACE STORAGE REIT INC","Equity","0.07","208.04","2,641.00","549,433.64","549,433.64","Real Estate","US30225T1025","New York Stock Exchange Inc.","United States","USD"
"GLW","CORNING INC","Equity","0.07","36.40","15,070.00","548,548.00","548,548.00","Information Technology","US2193501051","New York Stock Exchange Inc.","United States","USD"
"WTW","WILLIS TOWERS WATSON PLC","Equity","0.07","228.90","2,389.00","546,842.10","546,842.10","Financials","IE00BDB6Q211","NASDAQ","United States","USD"
"AME","AMETEK INC","Equity","0.07","128.13","4,258.00","545,577.54","545,577.54","Industrials","US0311001004","New York Stock Exchange Inc.","United States","USD"
"OKE","ONEOK INC","Equity","0.07","66.92","8,143.00","544,929.56","544,929.56","Energy","US6826801036","New York Stock Exchange Inc.","United States","USD"
"TSN","TYSON FOODS INC CLASS A","Equity","0.07","95.69","5,657.00","541,318.33","541,318.33","Consumer Staples","US9024941034","New York Stock Exchange Inc.","United States","USD"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Equity","0.07","106.10","5,089.00","539,942.90","539,942.90","Materials","NL0009434992","New York Stock Exchange Inc.","United States","USD"
"EIX","EDISON INTERNATIONAL","Equity","0.07","70.80","7,605.00","538,434.00","538,434.00","Utilities","US2810201077","New York Stock Exchange Inc.","United States","USD"
"DDOG","DATADOG INC CLASS A","Equity","0.07","128.47","4,183.00","537,390.01","537,390.01","Information Technology","US23804L1035","NASDAQ","United States","USD"
"CBRE","CBRE GROUP INC CLASS A","Equity","0.07","85.61","6,268.00","536,603.48","536,603.48","Real Estate","US12504L1098","New York Stock Exchange Inc.","United States","USD"
"FITB","FIFTH THIRD BANCORP","Equity","0.07","38.96","13,645.00","531,609.20","531,609.20","Financials","US3167731005","NASDAQ","United States","USD"
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Equity","0.07","190.44","2,789.00","531,137.16","531,137.16","Real Estate","US0152711091","New York Stock Exchange Inc.","United States","USD"
"BLL","BALL CORP","Equity","0.07","82.93","6,404.00","531,083.72","531,083.72","Materials","US0584981064","New York Stock Exchange Inc.","United States","USD"
"CMI","CUMMINS INC","Equity","0.07","194.48","2,728.00","530,541.44","530,541.44","Industrials","US2310211063","New York Stock Exchange Inc.","United States","USD"
"ANET","ARISTA NETWORKS INC","Equity","0.07","120.91","4,357.00","526,804.87","526,804.87","Information Technology","US0404131064","New York Stock Exchange Inc.","United States","USD"
"TTD","TRADE DESK INC CLASS A","Equity","0.07","60.80","8,554.00","520,083.20","520,083.20","Information Technology","US88339J1051","NASDAQ","United States","USD"
"KKR","KKR AND CO INC","Equity","0.07","52.58","9,885.00","519,753.30","519,753.30","Financials","US48251W1045","New York Stock Exchange Inc.","United States","USD"
"CERN","CERNER CORP","Equity","0.07","93.79","5,436.00","509,842.44","509,842.44","Health Care","US1567821046","NASDAQ","United States","USD"
"KDP","KEURIG DR PEPPER INC","Equity","0.07","37.99","13,414.00","509,597.86","509,597.86","Consumer Staples","US49271V1008","NASDAQ","United States","USD"
"FRC","FIRST REPUBLIC BANK","Equity","0.07","153.67","3,283.00","504,498.61","504,498.61","Financials","US33616C1009","New York Stock Exchange Inc.","United States","USD"
"BKR","BAKER HUGHES CLASS A","Equity","0.07","31.97","15,724.00","502,696.28","502,696.28","Energy","US05722G1004","NASDAQ","United States","USD"
"CHD","CHURCH AND DWIGHT INC","Equity","0.07","100.40","5,006.00","502,602.40","502,602.40","Consumer Staples","US1713401024","New York Stock Exchange Inc.","United States","USD"
"MOS","MOSAIC","Equity","0.07","65.32","7,659.00","500,285.88","500,285.88","Materials","US61945C1036","New York Stock Exchange Inc.","United States","USD"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.07","145.18","3,428.00","497,677.04","497,677.04","Information Technology","US49338L1035","New York Stock Exchange Inc.","United States","USD"
"DTE","DTE ENERGY","Equity","0.07","135.52","3,625.00","491,260.00","491,260.00","Utilities","US2333311072","New York Stock Exchange Inc.","United States","USD"
"CSGP","COSTAR GROUP INC","Equity","0.07","65.46","7,505.00","491,277.30","491,277.30","Industrials","US22160N1090","NASDAQ","United States","USD"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Equity","0.07","124.61","3,933.00","490,091.13","490,091.13","Health Care","US98956P1021","New York Stock Exchange Inc.","United States","USD"
"EXPE","EXPEDIA GROUP INC","Equity","0.07","183.40","2,643.00","484,726.20","484,726.20","Consumer Discretionary","US30212P3038","NASDAQ","United States","USD"
"FE","FIRSTENERGY CORP","Equity","0.07","44.74","10,756.00","481,223.44","481,223.44","Utilities","US3379321074","New York Stock Exchange Inc.","United States","USD"
"VEEV","VEEVA SYSTEMS INC CLASS A","Equity","0.07","185.00","2,599.00","480,815.00","480,815.00","Health Care","US9224751084","New York Stock Exchange Inc.","United States","USD"
"MKC","MCCORMICK & CO NON-VOTING INC","Equity","0.07","103.73","4,605.00","477,676.65","477,676.65","Consumer Staples","US5797802064","New York Stock Exchange Inc.","United States","USD"
"STT","STATE STREET CORP","Equity","0.06","68.84","6,930.00","477,061.20","477,061.20","Financials","US8574771031","New York Stock Exchange Inc.","United States","USD"
"AEE","AMEREN CORP","Equity","0.06","95.45","4,975.00","474,863.75","474,863.75","Utilities","US0236081024","New York Stock Exchange Inc.","United States","USD"
"DHI","D R HORTON INC","Equity","0.06","72.86","6,507.00","474,100.02","474,100.02","Consumer Discretionary","US23331A1097","New York Stock Exchange Inc.","United States","USD"
"NET","CLOUDFLARE INC CLASS A","Equity","0.06","95.25","4,977.00","474,059.25","474,059.25","Information Technology","US18915M1071","New York Stock Exchange Inc.","United States","USD"
"IT","GARTNER INC","Equity","0.06","298.57","1,584.00","472,934.88","472,934.88","Information Technology","US3666511072","New York Stock Exchange Inc.","United States","USD"
"INVH","INVITATION HOMES INC","Equity","0.06","41.20","11,410.00","470,092.00","470,092.00","Real Estate","US46187W1071","New York Stock Exchange Inc.","United States","USD"
"TSCO","TRACTOR SUPPLY","Equity","0.06","208.48","2,251.00","469,288.48","469,288.48","Consumer Discretionary","US8923561067","NASDAQ","United States","USD"
"EFX","EQUIFAX INC","Equity","0.06","206.33","2,262.00","466,718.46","466,718.46","Industrials","US2944291051","New York Stock Exchange Inc.","United States","USD"
"ANSS","ANSYS INC","Equity","0.06","287.31","1,613.00","463,431.03","463,431.03","Information Technology","US03662Q1058","NASDAQ","United States","USD"
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.06","71.27","6,487.00","462,328.49","462,328.49","Financials","US4165151048","New York Stock Exchange Inc.","United States","USD"
"CDW","CDW CORP","Equity","0.06","168.64","2,738.00","461,736.32","461,736.32","Information Technology","US12514G1085","NASDAQ","United States","USD"
"ABC","AMERISOURCEBERGEN CORP","Equity","0.06","157.75","2,896.00","456,844.00","456,844.00","Health Care","US03073E1055","New York Stock Exchange Inc.","United States","USD"
"CPRT","COPART INC","Equity","0.06","116.73","3,912.00","456,647.76","456,647.76","Industrials","US2172041061","NASDAQ","United States","USD"
"WST","WEST PHARMACEUTICAL SERVICES INC","Equity","0.06","325.36","1,400.00","455,504.00","455,504.00","Health Care","US9553061055","New York Stock Exchange Inc.","United States","USD"
"STE","STERIS","Equity","0.06","231.73","1,956.00","453,263.88","453,263.88","Health Care","IE00BFY8C754","New York Stock Exchange Inc.","United States","USD"
"ETR","ENTERGY CORP","Equity","0.06","122.32","3,704.00","453,073.28","453,073.28","Utilities","US29364G1031","New York Stock Exchange Inc.","United States","USD"
"MAA","MID AMERICA APARTMENT COMMUNITIES","Equity","0.06","206.13","2,182.00","449,775.66","449,775.66","Real Estate","US59522J1034","New York Stock Exchange Inc.","United States","USD"
"GWW","WW GRAINGER INC","Equity","0.06","514.93","867.00","446,444.31","446,444.31","Industrials","US3848021040","New York Stock Exchange Inc.","United States","USD"
"ESS","ESSEX PROPERTY TRUST REIT INC","Equity","0.06","345.11","1,274.00","439,670.14","439,670.14","Real Estate","US2971781057","New York Stock Exchange Inc.","United States","USD"
"MLM","MARTIN MARIETTA MATERIALS INC","Equity","0.06","365.86","1,200.00","439,032.00","439,032.00","Materials","US5732841060","New York Stock Exchange Inc.","United States","USD"
"VMC","VULCAN MATERIALS","Equity","0.06","177.88","2,459.00","437,406.92","437,406.92","Materials","US9291601097","New York Stock Exchange Inc.","United States","USD"
"CTRA","COTERRA ENERGY INC","Equity","0.06","29.15","14,978.00","436,608.70","436,608.70","Energy","US1270971039","New York Stock Exchange Inc.","United States","USD"
"NTRS","NORTHERN TRUST CORP","Equity","0.06","107.33","4,031.00","432,647.23","432,647.23","Financials","US6658591044","NASDAQ","United States","USD"
"HZNP","HORIZON THERAPEUTICS PUBLIC PLC","Equity","0.06","102.22","4,205.00","429,835.10","429,835.10","Health Care","IE00BQPVQZ61","NASDAQ","United States","USD"
"ULTA","ULTA BEAUTY INC","Equity","0.06","417.42","1,029.00","429,525.18","429,525.18","Consumer Discretionary","US90384S3031","NASDAQ","United States","USD"
"VMW","VMWARE CLASS A INC","Equity","0.06","110.88","3,873.00","429,438.24","429,438.24","Information Technology","US9285634021","New York Stock Exchange Inc.","United States","USD"
"ALB","ALBEMARLE CORP","Equity","0.06","195.26","2,182.00","426,057.32","426,057.32","Materials","US0126531013","New York Stock Exchange Inc.","United States","USD"
"VRSN","VERISIGN INC","Equity","0.06","208.42","2,044.00","426,010.48","426,010.48","Information Technology","US92343E1029","NASDAQ","United States","USD"
